service_id,date,exception_type
"623_1000000007277","20251205","1"
"623_1000000007278","20251205","1"
"623_1000000007280","20251205","1"
"623_1000000007281","20251205","1"
"623_1000000007283","20251205","1"
"623_1000000007285","20251205","1"
"623_1000000007287","20251205","1"
"623_1000000007288","20251205","1"
"623_1000000007308","20251205","1"
"623_1000000007309","20251205","1"
"623_1000000007311","20251205","1"
"623_1000000007312","20251205","1"
"623_1000000007313","20251205","1"
"623_1000000007316","20251205","1"
"623_1000000007317","20251205","1"
"623_1000000007318","20251205","1"
"623_1000000007319","20251205","1"
"623_1000000007328","20251205","1"
"623_1000000007329","20251205","1"
"623_1000000007336","20251205","1"
"623_1000000007337","20251205","1"
"623_1000000007339","20251205","1"
"623_1000000007340","20251205","1"
"623_1000000007341","20251205","1"
"623_1000000007369","20251205","1"
"623_1000000007381","20251205","1"
"623_1000000007382","20251205","1"
"623_1000000007383","20251205","1"
"623_1000000007384","20251205","1"
"623_1000000007385","20251205","1"
"623_1000000007386","20251205","1"
"623_1000000007387","20251205","1"
"623_1000000007388","20251205","1"
"623_1000000007389","20251205","1"
"623_1000000007390","20251205","1"
"623_1000000007392","20251205","1"
"623_1000000007396","20251205","1"
"623_1000000007400","20251205","1"
"623_1000000007401","20251205","1"
"623_1000000007402","20251205","1"
"623_1000000007403","20251205","1"
"623_1000000007404","20251205","1"
"623_1000000007406","20251205","1"
"623_1000000007407","20251205","1"
"623_1000000007408","20251205","1"
"623_1000000007409","20251205","1"
"623_1000000007410","20251205","1"
"623_1000000007411","20251205","1"
"623_1000000007428","20251205","1"
"623_1000000007429","20251205","1"
"623_1000000007434","20251205","1"
"623_1000000007435","20251205","1"
"623_1000000007437","20251205","1"
"623_1000000007438","20251205","1"
"623_1000000007448","20251205","1"
"623_1000000007449","20251205","1"
"623_1000000007450","20251205","1"
"623_1000000007451","20251205","1"
"623_1000000007452","20251205","1"
"623_1000000007453","20251205","1"
"623_1000000007455","20251205","1"
"623_1000000007456","20251205","1"
"623_1000000007457","20251205","1"
"623_1000000007458","20251205","1"
"623_1000000007460","20251205","1"
"623_1000000007464","20251205","1"
"623_1000000007465","20251205","1"
"623_1000000007468","20251205","1"
"623_1000000007476","20251205","1"
"623_1000000007477","20251205","1"
"623_1000000007478","20251205","1"
"623_1000000007480","20251205","1"
"623_1000000007481","20251205","1"
"623_1000000007482","20251205","1"
"623_1000000007483","20251205","1"
"623_1000000007487","20251205","1"
"623_1000000007494","20251205","1"
"623_1000000007498","20251205","1"
"623_1000000007500","20251205","1"
"623_1000000007502","20251205","1"
"623_1000000007503","20251205","1"
"623_1000000007504","20251205","1"
"623_1000000007508","20251205","1"
"623_1000000007509","20251205","1"
"623_1000000007511","20251205","1"
"623_1000000007512","20251205","1"
"623_1000000007513","20251205","1"
"623_1000000007515","20251205","1"
"623_1000000007524","20251205","1"
"623_1000000007525","20251205","1"
"623_1000000007526","20251205","1"
"623_1000000007528","20251205","1"
"623_1000000007529","20251205","1"
"623_1000000007530","20251205","1"
"623_1000000007531","20251205","1"
"623_1000000007532","20251205","1"
"623_1000000007533","20251205","1"
"623_1000000007540","20251205","1"
"623_1000000007543","20251205","1"
"623_1000000007553","20251205","1"
"623_1000000007554","20251205","1"
"623_1000000007561","20251205","1"
"623_1000000007562","20251205","1"
"623_1000000007565","20251205","1"
"623_1000000007568","20251205","1"
"623_1000000007569","20251205","1"
"623_1000000007575","20251205","1"
"623_1000000007577","20251205","1"
"623_1000000007586","20251205","1"
"623_1000000007587","20251205","1"
"623_1000000007588","20251205","1"
"623_1000000007589","20251205","1"
"623_1000000007590","20251205","1"
"623_1000000007591","20251205","1"
"623_1000000007592","20251205","1"
"623_1000000007593","20251205","1"
"623_1000000007595","20251205","1"
"623_1000000007598","20251205","1"
"623_1000000007616","20251205","1"
"623_1000000007619","20251205","1"
"623_1000000007620","20251205","1"
"623_1000000007624","20251205","1"
"623_1000000007625","20251205","1"
"623_1000000007675","20251205","1"
"623_1000000007676","20251205","1"
"623_1000000007678","20251205","1"
"623_1000000007679","20251205","1"
"623_1000000007809","20251205","1"
"623_1000000007810","20251205","1"
"623_CodUdp:D1318","20251205","1"
"623_CodUdp:D1319","20251205","1"
"623_CodUdp:D1321","20251205","1"
"623_CodUdp:D1329","20251205","1"
"623_CodUdp:D1332","20251205","1"
"623_CodUdp:D1333","20251205","1"
"623_CodUdp:D1334","20251205","1"
"623_CodUdp:D1335","20251205","1"
"623_CodUdp:D1350","20251205","1"
"623_CodUdp:D1359","20251205","1"
"623_CodUdp:D1360","20251205","1"
"623_CodUdp:D1380","20251205","1"
"623_CodUdp:D1393","20251205","1"
"623_CodUdp:D1450","20251205","1"
