stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
"953","953","STRADA DEL BARCAGLIONE 21","43.60052325","13.43086056","0","",""
"954","954","STRADA DEL BARCAGLIONE 2","43.5959059","13.43780073","0","",""
"955","955","STRADA DEL BARCAGLIONE 21","43.60067006","13.42567331","0","",""
"96","96","3^ TORRESI","43.60162545","13.51025451","0","",""
"97","97","2^ G.BRUNO","43.60735454","13.50012584","0","",""
"98","98","1° VIA PANORAMICA","43.61891125","13.52371809","0","",""
"99","99","2° VIA PANORAMICA","43.61895675","13.52532294","0","",""
"CFIDISIS","CFIDISIS","CASTELFIDARDO (ISTITUTO ISIS)","43.46067716","13.54881678","0","",""
"CI001","CI001","STAZIONE FS - CAPOLINEA","43.52080555","13.25151988","0","","1"
"CI002","CI002","VIALE TRIESTE","43.5217206","13.24835986","0","",""
"CI003","CI003","PORTAVALLE","43.52324141","13.24819241","0","",""
"CI004","CI004","VIA DELLA GRANITA","43.52526157","13.25028056","0","",""
"CI005","CI005","VIA SAN GIUSEPPE","43.52628684","13.25108619","0","",""
"CI006","CI006","VIA GARIBALDI","43.52741526","13.24774955","0","",""
"CI007","CI007","VIA GARIBALDI - VIA VOLTURNO","43.52652248","13.24589757","0","",""
"CI008","CI008","VIA NAZARIO SAURO","43.52466512","13.24455932","0","",""
"CI009","CI009","VIA MURA OCCIDENTALI","43.52226778","13.24206751","0","",""
"CI010","CI010","VIA MURA OCCIDENTALI - POSTE","43.52084413","13.23936817","0","",""
"CI011","CI011","VIA MURA OCCIDENTALI - CIRO","43.52005536","13.2384322","0","",""
"CI013","CI013","VIA ROMA - ARCI","43.51592735","13.23436739","0","",""
"CI014","CI014","VIA ROMA - EX MORRICONI","43.513475","13.23328214","0","",""
"CI015","CI015","VIA ROMA - BAR","43.51158249","13.23020003","0","",""
"CI018","CI018","VIA ROMA - VIA BOSI","43.50863841","13.22370192","0","",""
"CI019","CI019","VIA ROMA - DAVANTI BAR PARÒ","43.50727296","13.21888751","0","",""
"CI020","CI020","VIA ROMA - BIVIO CINGOLI","43.50593341","13.21185244","0","",""
"CI021","CI021","VIA ROMA - MONTE SCHIAVO","43.50621767","13.20438343","0","",""
"CI022","CI022","VIA ROMA - MAGACI","43.50640038","13.19597237","0","",""
"CI023","CI023","VIA ROMA - BIVIO PANTIERE","43.50622095","13.18520627","0","",""
"CI024","CI024","VILLA SERENA","43.50816201","13.18227857","0","",""
"CI025","CI025","VIA PANTIERE - BIVIO","43.50556138","13.18534664","0","",""
"CI026","CI026","VIA PANTIERE - IMP. SPORTIVI","43.50296543","13.18715617","0","",""
"CI030","CI030","VIA ROMA - FRONTE MAGACI","43.50626895","13.19591752","0","",""
"CI031","CI031","VIA ROMA - MONTE SCHIAVO","43.5060493","13.20455542","0","",""
"CI033","CI033","VIA ROMA - BAR PARÒ","43.50714009","13.21907659","0","",""
"CI034","CI034","VIA ROMA - VIA BERLINGUER","43.50789431","13.22239825","0","",""
"CI035","CI035","VIA ROMA - P.ZZA PELLEGRINI","43.50981162","13.22642366","0","",""
"CI036","CI036","VIA ROMA - CASA DEL LAMPADARIO","43.51078008","13.22861485","0","",""
"CI037","CI037","VIA ROMA - LAVATOIO","43.51202194","13.2316049","0","",""
"CI038","CI038","VIA ZARA - CHIESA","43.51201435","13.23286083","0","",""
"CI039","CI039","VIA ROMA - VIA ASIAGO","43.51395878","13.23370723","0","",""
"CI040","CI040","VIA ROMA - XX SETTEMBRE","43.51555099","13.23419278","0","",""
"CI041","CI041","C.SO MATTEOTTI - ARCO","43.51802739","13.23567023","0","",""
"CI047","CI047","VIA DEL SETIFICIO","43.52561233","13.24819773","0","",""
"CI048","CI048","VIA XXIV MAGGIO - CASA DEL POPOLO","43.52406077","13.24922475","0","",""
"CI049","CI049","VIA G. ACQUA - AUTOSTAZIONE","43.52296075","13.24908496","0","","1"
"CI050","CI050","VIALE TRIESTE","43.52165172","13.24827215","0","",""
"CI051","CI051","VIA M. RICCI - MULTISALA","43.51952571","13.25408714","0","",""
"CI052","CI052","MAZZANGRUGNO","43.52950577","13.31706382","0","",""
"CI053","CI053","VIA M. RICCI - MTA","43.51774961","13.25369568","0","",""
"CI054","CI054","VIA MAZZANGRUGNO","43.5269129","13.3118922","0","",""
"CI055","CI055","2^ VIA MAZZANGRUGNO","43.52287989","13.2982822","0","",""
"CI056","CI056","VIA MUSONE","43.50950498","13.26033459","0","",""
"CI057","CI057","VIA MARCONI - PONTE ESINO","43.51224893","13.25693522","0","",""
"CI058","CI058","VIA MARCONI - METANO","43.51469811","13.2539913","0","",""
"CI059","CI059","VIA MARCONI - FRONTE VIA FERMI","43.51643225","13.25198644","0","",""
"CI060","CI060","VIA MARCONI - VIA S. MARIA","43.51817246","13.25008646","0","",""
"CI061","CI061","VIA DEL VERZIERE - VIA FERMI","43.51779968","13.24867438","0","",""
"CI062","CI062","VIA DEL VERZIERE - DOSSO","43.51730577","13.24787826","0","",""
"CI063","CI063","VIA DEL VERZIERE -TERMO FORGIA","43.51143505","13.23791289","0","",""
"CI064","CI064","VIA GALLODORO - VIA MOREGGIO","43.51262678","13.23520285","0","",""
"CI065","CI065","VIA GALLODORO - VVFF","43.5142268","13.23794608","0","",""
"CI066","CI066","VIA GALLODORO - COOP","43.51571228","13.24031655","0","",""
"CI067","CI067","VIA DEL PRATO - ASUR","43.51673518","13.24238284","0","",""
"CI068","CI068","VIA DEL PRATO - CHIESA","43.51811611","13.24435641","0","",""
"CI069","CI069","VIA XXIV MAGGIO - SCUOLE","43.51951715","13.24676254","0","",""
"CI070","CI070","VIA XXIV MAGGIO - VIALE TRIESTE","43.52096522","13.24900967","0","",""
"CI071","CI071","V.LE VITTORIA - OSPEDALE","43.51953466","13.23619546","0","",""
"CI072","CI072","VIA ROSSINI - VIA SAN FRANCESCO","43.52135314","13.23675804","0","",""
"CI073","CI073","VIA ROSSINI - P.ZZA BRAMANTE","43.52331007","13.23783324","0","",""
"CI074","CI074","VIA ROSSINI - VIA GRAMSCI","43.52494646","13.23943445","0","",""
"CI075","CI075","VIA SAN PIETRO MARTIRE","43.52616509","13.239928","0","",""
"CI076","CI076","VIA GRAMSCI - L. DE BOSIS","43.52679486","13.23720709","0","",""
"CI077","CI077","VIA GRAMSCI - CASA RIPOSO","43.52853554","13.23337152","0","",""
"CI078","CI078","VIA DEI COLLI - VIA MURRI","43.52983714","13.23049528","0","",""
"CI079","CI079","VIA LA MALFA - VIA DE GASPERI","43.5291016","13.22951256","0","",""
"CI080","CI080","VIA LA MALFA - BOCCIODROMO","43.5278012","13.22839357","0","",""
"CI081","CI081","VIA LA MALFA - FRONTE ITC","43.5266571","13.2260326","0","",""
"CI082","CI082","VIA SCHWEITZER","43.5251755","13.22571408","0","",""
"CI083","CI083","VIA PALADINI","43.52295951","13.22680916","0","",""
"CI084","CI084","VIA JUGOSLAVIA","43.52135074","13.22699858","0","",""
"CI085","CI085","VIA DEL BURRONE - VIA FRANCIA","43.52027394","13.22636507","0","",""
"CI086","CI086","VIA DEL BURRONE - CARDINALETTI","43.51955808","13.223174","0","",""
"CI087","CI087","VIA DEL BURRONE - PATTINODROMO","43.51902158","13.2208092","0","",""
"CI088","CI088","VIA COPPI - VIA BAGICALUPO","43.51805027","13.22030262","0","",""
"CI089","CI089","VIA COPPI - CHIESA","43.51706922","13.22264204","0","",""
"CI090","CI090","VIA COPPI - VIA LOIK","43.51600206","13.22523753","0","",""
"CI091","CI091","VIA XX LUGLIO - L.GO ALLENDE","43.51551116","13.22783771","0","",""
"CI092","CI092","VIA DEL MOLINO - PISCINA","43.51732873","13.23994743","0","",""
"CI094","CI094","VIA GRECIA - S. ALLENDE","43.51638443","13.22724921","0","",""
"CI095","CI095","V.LE CAVALLOTTI - GIARDINI","43.51921192","13.22987918","0","",""
"CI096","CI096","VIALE CAVALLOTTI","43.5184133","13.23209252","0","",""
"CI097","CI097","VIA XXIV MAGGIO - VIALE TRIESTE","43.52106189","13.2488553","0","",""
