mizar_ref,stop_id,nome
160,161,3^ VIA MICHELANGELO
161,162,2^ VIA XXV APRILE
162,163,3^ VIA XXV APRILE
163,164,Via Gervasoni - Questura
164,165,2^ VIA GERVASONI
165,166,3^ VIA GERVASONI
166,167,Via XXV Aprile - Carabinieri
167,168,BORGO RODI
168,169,VIA RODI
169,170,4a VIA ISONZO
170,171,1^ VIA PIAVE
171,172,2^ VIA PIAVE
172,173,VIA MONTEBELLO
173,174,VIA TORRIONI
174,175,Piazza Sangallo - Capodimonte
175,176,1^ VIA CIRCONVALLAZIONE
176,177,Circonvallazione -Cittadella
177,178,1^ VIA SCANDALI
178,179,2^ VIA SCANDALI
179,180,VIA XXV APRILE
180,181,VIA GENTILONI
181,182,1 ^ VIA  ANGELINI
182,183,2^ VIA  ANGELINI
183,184,VIA SALMONI
184,185,17^ VIA DEL CONERO
185,186,1a VIA ISONZO
186,187,VIA ISONZO
187,188,Piazza CAVOUR Cap. Circolari
188,189,P.zza Cavour  Via Vecchini
189,190,Piazza CAVOUR
190,191,4^ VIA DEL CONERO
191,192,4a VIA ISONZO
192,193,5a VIA ISONZO
193,194,1a VIA DEL CONERO
194,195,2a VIA DEL CONERO
195,196,3a VIA DEL CONERO
196,197,PIETRALACROCE CENTRO
197,198,PIETRALACROCE
198,199,PIETRALACROCE CAPOLINEA
199,200,VIA DEL CONERO - CASACCIA
232,201,2^ VIA DEL CONERO
248,202,VIA DEL CONERO - LA VEDOVA
276,203,V.DEL CONERO (Capannaccia)
318,204,MONTACUTO (Bivio Castellano)
343,205,2^ MONTACUTO
371,206,3^ MONTACUTO
398,207,MONTACUTO PAESE - ANDATA
420,208,MONTACUTO (Ex Capolinea)
451,209,MONTACUTO - CARCERE
475,210,8^ MONTACUTO
498,211,MONTACUTO PAESE - RITORNO
523,212,12^ MONTACUTO
524,213,13^ MONTACUTO
525,214,14^ MONTACUTO
526,215,VIA DEL CONERO - SARDELLA
527,216,VIA DEL CONERO - Taverna Trave
528,217,VIA DEL CONERO - TRAVE
529,218,VIA DEL CONERO - MARINA
530,219,VIA DEL CONERO - LAVANDA
533,220,VIA DEL CONERO - MEZZAVALLE
534,221,VIA DEL CONERO (Biv. Portonovo)
